,DISTRICT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
308,NARSINGHPUR,2311,2443,2146,2349,2613,1972,2336,2465,2689,3135,2949,3371,3649
309,NEEMUCH,2208,2223,2116,2204,1860,1816,2394,2082,2040,2046,2091,2183,2525
310,PANNA,1921,1717,1632,1384,1487,1503,1795,1704,1682,2077,2277,2234,1828
311,RAISEN,3009,3080,3376,3358,3368,3676,3699,3355,3901,4461,4172,4207,4656
312,RAJGARH,3718,4301,4066,5098,4493,4357,5367,4675,4429,4430,4609,4712,4433
313,RATLAM,3342,3332,3447,3661,3797,3704,3781,3488,3637,4245,3829,3420,3497
314,REWA,4603,4569,4450,4478,3956,4459,4689,5179,5158,5562,5007,5498,5741
315,SAGAR,7681,7303,6856,7143,7335,6972,8194,8169,8592,8518,8978,9276,8016
316,SATNA,4763,4503,4537,4877,5241,5748,5252,5798,5704,5373,5445,5407,6232
317,SEONI,2143,2038,1895,2278,2454,2468,2576,2551,2698,2906,2712,2728,2632
318,SHAHDOL,4162,4734,4165,2518,2552,2492,2558,2959,2843,2937,3204,3375,4344
319,SHAJAPUR,3663,3765,3718,3995,3570,3544,3780,3811,3675,3225,3123,3350,2523
320,SHEOPUR,1053,1339,1254,1053,1167,1159,1192,1239,1277,1214,1276,1347,1409
321,SHIVPURI,4321,4429,3473,3824,3713,4646,4178,4104,4094,4357,4911,4968,4772
322,SIDHI,3508,3606,3717,3719,3661,4136,4604,2367,2184,2603,2536,2568,2653
323,SIHORE,3389,3897,3212,3042,2957,3337,3160,3403,3337,3986,4315,3894,3907
324,TIKAMGARH,3078,3240,2678,2923,2761,3080,3512,3035,3330,3718,3240,3302,3196
325,UJJAIN,7641,8425,7634,8685,7371,7458,7752,8764,8706,8708,8411,8286,7970
326,UMARIYA,1849,1272,1244,1212,1208,1249,1186,1259,1200,1238,1404,1262,1579
327,VIDISHA,3635,3918,3710,3856,3944,3928,4286,4353,4378,4757,4651,4623,4687
328,AHMEDNAGAR,4391,4506,4251,4738,5241,6173,6753,7070,6530,7215,7648,7246,7934
329,AKOLA,4020,3886,3900,4354,4594,4222,4067,4132,4227,4472,4025,3442,3979
330,AMRAVATI COMMR.,2837,2665,2986,2740,2573,2591,2643,2439,2629,3079,2931,2713,2776
331,AMRAVATI RURAL,3655,3922,3763,3660,3655,3806,3692,4150,4209,4574,4228,4442,5440
332,AURANGABAD COMMR.,2351,2440,2286,2326,2476,2766,3155,3452,3727,3953,3781,3659,4033
333,AURANGABAD RURAL,2708,2703,2675,2777,2715,2591,3032,3347,2934,3223,3214,3562,4565
334,BEED,3644,3288,3887,3936,4324,4380,4466,4500,4338,4049,4230,4099,4713
335,BHANDARA,2252,2258,2313,2550,2398,2583,2554,2845,2259,2242,2077,2019,2257
336,BULDHANA,3701,3665,3821,3705,4240,4152,3780,4494,4260,3972,3902,3497,4024
337,CHANDRAPUR,3123,2970,3033,3539,3446,3703,4148,4456,4483,4006,3828,3763,4476
338,DHULE,2040,2149,1754,2042,2258,2516,2681,2783,2662,2974,2749,2542,3136
339,GADCHIROLI,1364,1403,1501,1367,1266,1278,1282,1195,1188,1082,957,981,1033
340,GONDIA,2006,1959,1875,1898,2108,2296,1937,2023,1911,1982,1947,1772,1887
341,HINGOLI,1841,1629,1735,1689,1908,1790,1597,1751,1667,1865,1743,1391,1400
342,JALGAON,4014,4302,3927,4336,4563,4443,4599,4901,4737,5408,5518,4954,5548
343,JALNA,2529,2326,2430,2603,2880,3011,2584,2832,2939,2960,3017,3051,3173
344,KOLHAPUR,3162,2990,3358,3132,3423,3781,3989,4398,3917,3727,4114,4554,4800
345,LATUR,3044,2832,3074,3382,3379,3902,3837,3681,3407,3513,3418,3237,3443
346,MUMBAI RLY.,2023,1942,1841,2020,1818,1897,1966,2222,2347,2322,2471,2325,2684
347,NAGPUR COMMR.,9912,8722,7357,8518,9605,9991,9791,8661,7785,7728,8063,8277,9426
348,NAGPUR RLY.,1056,1052,1169,1249,1110,1089,1031,1247,1160,1135,1235,1292,1577
349,NAGPUR RURAL,5680,5053,4644,4884,4815,4514,4436,4567,3983,3922,3891,3622,4242
350,NANDED,5348,5799,5829,5687,5420,4828,4654,4778,4991,5312,5162,4668,5058
351,NANDURBAR,1079,1178,1283,1247,1168,1266,1579,1501,1356,1542,1486,1358,1558
352,NASIK COMMR.,2195,2521,2542,2606,2776,2951,3115,3813,4218,4484,4512,4390,4401
353,NASIK RURAL,4880,4783,4384,4344,4513,4767,4899,4480,4840,5011,4989,5216,6477
354,NAVI MUMBAI,3063,3071,2861,3688,3843,3994,4705,4686,4876,5873,5658,5157,5390
355,OSMANABAD,2702,2656,2507,2418,3027,3227,3206,3072,2692,2831,3083,3055,2864
356,PARBHANI,2475,2366,2350,2444,2383,2512,2743,2767,2708,3043,2967,2836,3573
357,PUNE COMMR.,8936,8504,8813,10754,11817,11484,12818,14467,13848,13602,12622,12308,13159
358,PUNE RLY.,386,409,261,186,208,290,392,455,541,439,462,445,498
359,PUNE RURAL,4380,4518,4479,4830,5343,5573,6244,7183,7537,7741,7902,8433,9208
360,RAIGAD,2218,2149,2179,2127,2322,2589,2391,2061,2053,2006,1997,2159,2595
361,RATNAGIRI,1431,1222,1272,1301,1458,1634,1600,1561,1477,1604,1463,1398,1568
362,SANGLI,2999,2688,2713,2588,3068,2668,2651,2909,2777,2922,2743,2783,3353
363,SATARA,3465,3341,3164,3288,3777,4643,4335,4634,4350,4349,4312,5042,6086
364,SINDHUDURG,821,781,810,791,853,816,782,795,872,815,792,803,841
365,SOLAPUR COMMR.,1567,1597,1682,1737,1644,1786,1564,1684,1465,1623,1965,1992,2166
366,SOLAPUR RURAL,3145,2835,3230,2990,3363,3652,4220,4720,4634,4751,4716,4476,5057
367,THANE COMMR.,6616,6419,6708,7286,7664,8224,8911,9479,9570,9943,9653,10144,12631
368,THANE RURAL,3780,4010,4008,4250,4600,4970,5267,5792,5420,6213,6005,6919,7477
369,WARDHA,3443,3493,3783,3692,4018,4130,4026,4369,4041,3882,3492,3564,3959
370,WASHIM,1826,1875,1959,2233,2096,2011,2155,2222,2121,2070,2279,2241,2513
371,YAVATMAL,4157,4309,4223,4917,5439,5228,4949,4899,4650,4777,5008,6365,12567
372,BISHNUPUR,226,293,274,283,340,289,367,327,268,320,311,314,234
373,CHANDEL,74,98,83,64,89,71,88,74,80,59,63,68,53
374,CHURACHANDPUR,132,108,97,120,175,264,157,131,88,90,71,120,106
375,SENAPATI,176,130,132,117,120,108,145,139,139,177,161,176,123
376,TAMENGLONG,14,28,24,37,47,40,38,27,35,47,53,73,90
377,THOUBAL,403,488,488,346,482,464,544,648,486,414,585,691,524
378,UKHRUL,43,38,40,48,79,56,74,85,69,63,66,99,105
379,GARO HILLS EAST,134,110,132,98,158,148,159,130,167,151,237,147,188
380,GARO HILLS SOUTH,49,57,46,33,49,53,53,37,49,59,115,146,152
381,GARO HILLS WEST,235,196,200,212,267,242,267,533,591,556,533,471,400
382,KHASI HILLS EAST,754,771,770,762,762,901,979,896,804,849,943,917,1127
383,KHASI HILLS WEST,125,119,91,123,175,118,127,154,214,243,267,224,177
384,RI-BHOI,176,184,166,219,183,187,180,229,240,264,235,257,341
385,AIZAWL,1126,1409,1871,670,534,998,1056,976,1048,1110,983,905,844
386,CHAMPHAI,203,212,221,161,233,171,164,151,170,210,199,230,189
387,KOLASIB,216,240,253,47,152,253,248,217,207,182,146,173,176
388,LAWNGTLAI,160,162,144,99,249,87,124,147,154,156,64,89,90
389,LUNGLEI,229,336,355,250,468,237,237,265,200,244,191,142,154
390,MAMIT,74,62,93,38,104,65,74,62,104,107,85,80,88
391,SAIHA,182,326,360,142,270,185,103,78,83,88,79,65,67
392,SERCHHIP,56,73,159,108,146,77,77,93,81,77,74,82,88
393,DIMAPUR,464,467,238,333,350,425,510,558,536,511,499,524,572
394,KIPHIRE,18,11,16,21,19,9,19,21,11,26,13,11,42
395,KOHIMA,335,226,245,202,254,266,248,181,178,189,208,178,162
396,MOKOKCHUNG,93,64,103,62,47,49,84,82,57,82,56,61,88
397,MON,57,64,84,96,84,77,57,84,51,13,42,62,50
398,PEREN,28,31,27,14,30,39,28,18,37,20,22,29,15
399,PHEK,51,52,65,44,52,56,50,55,42,45,48,43,82
400,TUENSANG,41,45,56,58,77,45,51,36,28,36,42,44,56
401,WOKHA,93,99,85,85,86,64,66,95,58,47,65,59,87
402,ZUNHEBOTO,54,55,57,69,50,73,54,63,42,78,70,66,48
403,ANGUL,1461,1614,1614,1889,2047,2104,2428,2543,2881,2901,3383,3835,3842
404,BALASORE,2341,2490,2545,2504,2584,2987,2797,2803,3405,3330,3741,4257,4067
405,BARAGARH,1244,1259,1372,1399,1655,1225,1422,1513,1402,1627,1737,1749,1587
406,BERHAMPUR,1270,1128,1097,1152,1504,1184,1056,1059,1072,1251,1698,1958,1985
407,BHADRAK,1354,1411,1410,1662,1720,1642,1734,2078,2139,2005,2377,2624,2708
408,BOLANGIR,1323,1439,1648,1667,1621,1714,1870,1834,2093,2021,1958,2151,2008
409,BOUDH,415,403,405,397,409,464,485,463,332,360,514,660,706
410,CUTTACK,4258,4280,3985,3973,4197,3909,3919,2301,2377,2340,2481,2882,2407
411,DEOGARH,363,433,502,470,581,643,655,686,548,533,477,473,478
412,DHENKANAL,1156,1305,1187,1469,1546,1600,1900,1832,1689,1786,1738,1947,2131
413,GAJAPATI,433,425,368,402,420,443,452,481,464,388,362,397,424
414,GANJAM,1790,2179,2026,1922,1948,2003,2244,2126,1785,1882,2198,2295,2326
415,JAGATSINGHPUR,1314,1261,1302,1347,1218,1186,1317,1384,1478,1617,1590,2139,2324
416,JAJPUR,1522,1687,1630,1778,1786,2163,2152,2220,2252,2166,2492,2759,3008
417,JHARSUGUDA,750,710,962,887,1194,1298,1426,1531,1285,1325,1309,1247,1214
418,KALAHANDI,1269,909,780,870,1064,1299,1302,1360,1323,1564,1593,1685,1735
419,KANDHAMAL,1000,948,945,823,947,890,952,1630,828,742,891,841,909
420,KENDRAPARA,1057,929,930,994,1159,1173,1465,1399,1318,1392,1763,2096,2282
421,KEONJHAR,1922,2047,1973,1933,2268,2075,1891,2300,2544,2366,2161,2507,2579
422,KHURDA,5076,5236,5271,5337,5432,6007,6052,1380,1506,1521,1620,1848,1982
423,KORAPUT,1563,1452,1534,1587,1551,1532,1512,1469,1271,1302,1471,1430,1456
424,MALKANGIR,496,459,440,507,495,482,380,384,324,358,498,502,494
425,MAYURBHANJ,2029,2025,2213,2234,2259,2148,2434,2448,2262,2223,2565,2565,2958
426,NAYAGARH,852,865,903,842,991,1124,1273,1114,1092,1243,1191,1242,1520
427,NOWRANGPUR,687,764,708,683,756,735,851,840,853,975,1035,1022,1542
428,NUAPADA,466,491,562,704,751,683,749,720,700,711,776,921,1080
429,PURI,2202,2561,2442,2527,2477,2466,2809,2930,2756,2738,2944,3883,3753
430,RAYAGADA,850,959,881,951,965,900,788,715,751,829,1005,1044,1163
431,ROURKELA,1213,1226,1178,1271,1351,1420,1418,2247,1806,1616,1705,1861,2410
432,SAMBALPUR,2159,1904,1775,1841,2046,2305,2127,2377,2259,2271,2647,2474,3038
433,SONEPUR,444,488,466,375,347,455,466,455,504,578,660,559,650
434,SRP(CUTTACK),461,439,509,402,426,490,343,504,564,530,648,700,482
435,SRP(ROURKELA),269,281,211,228,215,266,281,304,424,468,492,454,443
436,SUNDARGARH,1652,1721,1507,1712,1755,1777,1922,1357,1196,1178,1239,1370,1576
437,BARNALA,501,545,623,474,473,530,637,705,637,739,824,688,771
438,BATALA,393,640,715,565,1085,1242,1049,803,861,909,858,1023,826
439,BHATINDA,1080,1197,1330,1319,1547,1441,1893,2206,2187,1872,1609,1810,2096
440,FARIDKOT,463,504,561,611,579,900,1067,895,782,847,760,771,724
441,FATEHGARH SAHIB,671,565,482,557,627,668,1292,998,979,939,792,767,811
442,G.R.P,482,390,377,361,295,302,306,401,468,390,351,359,419
443,GURDASPUR,580,819,669,724,848,1133,1100,938,1077,1217,780,840,884
444,HOSHIARPUR,1237,1339,1205,1175,1120,1351,1690,1529,1706,1688,1621,1626,1667
445,KAPURTHALA,755,912,887,807,1031,1201,1480,1469,1168,1159,1182,1408,1267
446,KHANNA,486,599,612,357,956,1010,1083,1089,982,1035,872,834,971
447,MANSA,425,533,546,587,613,656,777,824,799,794,583,650,640
448,MOGA,754,704,832,749,873,1311,1124,1106,1201,1227,1338,1152,1044
449,MUKTSAR,432,466,506,571,772,717,787,784,817,894,739,821,804
450,PATIALA,5973,3196,2949,2814,2786,2403,2428,2597,2940,3001,2653,2545,2869
451,ROPAR,1278,1370,1420,1152,1204,660,898,886,884,1099,1083,1108,1016
452,SANGRUR,1285,1402,1328,1267,1155,1125,1678,1836,1769,1953,1870,2103,2078
453,TARN TARAN,634,620,598,624,673,830,1186,933,863,858,1014,1117,1076
454,AJMER,6618,6983,6360,6775,5861,6523,6708,6339,6275,6112,6627,6550,8636
455,ALWAR,7023,6814,7118,7163,6921,7243,8199,8335,10092,9886,10643,11941,14677
456,BANSWARA,3508,3215,3171,2984,2426,2489,2199,2310,2286,2241,2567,2777,2784
457,BARAN,4333,3704,3486,3301,2977,2555,2489,3032,3376,3048,3488,3596,3333
458,BARMER,2369,2442,2424,2559,2479,2597,2664,2849,3110,3148,3392,3744,3996
459,BHARATPUR,7291,7304,7191,7528,6664,6134,6931,7203,8394,8425,9120,8849,10203
460,BHILWARA,6335,6593,5890,6297,5105,4635,4629,4808,5485,5268,4697,4893,5489
461,BIKANER,3952,3065,3512,3937,3418,3733,4105,4054,3883,3683,3831,4535,4978
462,BUNDI,4078,3899,3648,4154,3143,3010,2868,3101,3665,3286,3305,3124,3292
463,CHITTORGARH,7062,6470,6574,6861,5675,6006,6242,4533,4754,4755,4246,4390,4980
464,CHURU,2880,2855,2866,2713,2258,2282,2587,2759,3165,3153,3068,3363,3725
465,DAUSA,3546,3646,3482,4053,3450,3648,4195,4603,5092,5136,5145,5101,5673
466,DHOLPUR,3096,2811,2530,3043,2900,2949,3371,3616,4174,4311,3743,3739,3889
467,DUNGARPUR,1997,1936,1885,1910,1468,1596,1991,2033,1895,1875,2030,1844,2380
468,GANGANAGAR,5610,5393,5236,5512,4855,4807,5172,4632,5557,5241,5433,5427,6347
469,HANUMANGARH,3956,3867,3818,3846,3185,3083,2922,3354,3721,3763,3994,4077,4825
470,JAISALMER,1020,917,696,821,742,851,972,993,1037,1124,1081,1177,1434
471,JALORE,2507,2587,2404,2411,2108,2106,2329,2472,2684,2506,2465,2480,2593
472,JHALAWAR,3533,3498,3262,3838,3558,3134,2782,3368,4345,3981,3596,3795,4133
473,JHUNJHUNU,4102,4197,3607,3917,3355,3610,3956,3859,4237,3661,4078,4358,4752
474,KARAULI,2908,2924,3217,3373,3166,3291,3564,3771,4112,4461,4402,4561,4636
475,NAGAUR,4575,4814,4476,4311,4078,4432,4001,3775,4231,4211,4258,4498,5186
476,PALI,4640,5065,4969,5329,4693,4337,4733,4704,5255,5161,5347,5469,6152
477,RAJSAMAND,2872,2587,2639,2499,2318,2456,2325,2159,2457,2380,2282,2439,2571
478,SAWAI MADHOPUR,3094,3004,3098,3217,3059,3487,3485,3435,3406,3510,3725,4054,4077
479,SIKAR,4333,4054,3552,4029,4223,4156,4047,4202,5138,5029,5417,5824,6941
480,SIROHI,2185,2313,2055,2207,2132,1834,1888,1834,2033,1910,1952,1906,2148
481,TONK,3913,3738,3837,3803,3844,3877,3497,3203,3543,3158,3274,3232,4022
482,UDAIPUR,6365,6388,6106,7183,6418,6199,7023,6716,7467,8102,7939,7984,8212
484,EAST,4447,3881,4331,5528,5453,5573,6016,5540,6379,6723,7004,7423,10388
488,NORTH,3998,3681,3391,3418,3306,3016,3352,3113,2908,2889,2841,2700,4081
492,SOUTH,10745,9306,8440,9672,10529,10854,10414,4821,5353,5308,5141,5045,8593
495,WEST,7690,7148,7077,7343,7217,7368,6391,5286,5111,5475,5883,5558,8813
496,CHENNAI,7292,8526,8580,12436,20127,16168,16508,11829,10905,10869,21346,19881,17747
497,CHENNAI RLY.,493,559,574,645,373,346,358,539,490,647,515,558,598
498,COIMBATORE RURAL,9115,8862,9257,9840,10000,7435,14360,10998,4667,4806,4590,5093,5053
499,COIMBATORE URBAN,3490,3226,3187,3831,3845,3974,3924,4180,4318,4180,4030,10357,17945
500,CUDDALORE,8018,7095,6098,7109,6458,6037,6909,6509,6622,6179,9215,11318,8758
501,DHARMAPURI,5123,5816,6099,2789,2727,2670,3488,4696,3875,3761,3574,3742,4416
502,DINDIGUL,4657,5165,5020,5047,4829,4720,4439,4627,4869,5299,5426,5985,5845
503,ERODE,6631,6666,6052,6045,6379,5831,7380,8006,5670,6702,6198,4789,4342
504,KANCHIPURAM,5840,7869,5087,6807,5085,5475,7236,6916,5615,5757,6269,8040,7977
505,KANYAKUMARI,3732,4731,3502,3113,3063,3061,4206,4735,4868,4752,5199,4810,4203
506,KARUR,2245,2579,2414,2435,2865,2425,2642,2464,2358,2974,2574,2401,2013
507,MADURAI RURAL,4877,4459,4110,4253,5380,4448,4734,4791,5152,5348,6165,6358,7855
508,MADURAI URBAN,4161,3689,3253,3164,3384,2464,2325,2470,3000,2672,2873,3261,3031
509,NAGAPATTINAM,3724,4061,3636,3480,3673,3820,4404,4133,3976,4027,4153,4245,3919
510,NAMAKKAL,2659,3777,3558,3608,3310,3232,3849,4625,4410,4690,4526,4070,4113
511,NILGIRIS,1330,1380,1599,1707,1695,1422,1365,1371,1096,1320,1324,1216,1203
512,PERAMBALUR,1100,2931,2438,2505,2683,2568,2896,3138,1520,1536,1518,1455,1300
513,PUDUKOTTAI,3416,3391,3262,3323,3752,3784,3450,3032,3048,4808,3573,3142,3379
514,RAMNATHAPURAM,3234,3166,2959,2865,2894,2802,3027,2907,3401,3462,3511,3549,3583
515,SALEM RURAL,4225,4507,6310,5908,6091,4275,5208,7381,5781,8634,6222,5939,5832
516,SALEM URBAN,1846,1996,2070,2865,4025,2560,1520,2313,2404,3218,3445,2329,2852
517,SIVAGANGAI,3030,2832,2721,2620,2400,2499,2897,2888,2534,2611,3074,3598,3742
518,THANJAVUR,3506,3909,3985,3930,4095,4740,6504,7420,7408,6946,6528,6785,6510
519,THENI,2646,2941,3054,3367,3227,2873,3712,4992,5214,5384,5019,4312,4311
520,THIRUNELVELI RURAL,6350,6629,6367,4834,5530,6124,7610,7822,7740,7777,7943,9024,10365
521,THIRUNELVELI URBAN,1569,1276,1065,1305,1191,1143,1398,1574,1811,1630,1234,1352,1525
522,THIRUVALLUR,3468,3612,3184,3163,3061,3071,3056,4116,4067,3487,3453,3579,4003
523,THIRUVANNAMALAI,4749,4953,3949,3842,2971,3095,4663,4625,4067,4562,4298,4874,4614
524,THIRUVARUR,3043,2532,2776,2950,3064,3285,4300,2770,3180,3976,4397,4039,3963
525,THOOTHUGUDI,5290,5090,5353,4950,4571,4157,4663,5508,5436,4954,5405,5324,5519
526,TRICHY RLY.,206,232,177,210,200,100,92,98,170,195,230,216,223
527,TRICHY RURAL,3104,3318,3037,3639,3855,3750,3566,3598,3911,4525,4796,4485,4131
528,TRICHY URBAN,2279,2495,2470,2615,2935,3155,3218,3273,3593,3741,3496,2926,2783
529,VELLORE,7941,8245,7354,6760,6411,6926,7343,7050,6862,8249,7672,7710,9802
530,VIRUDHUNAGAR,4503,4280,4815,4637,5228,4157,4023,4271,4428,4845,4915,5504,4336
531,DHALAI,205,401,530,301,328,354,358,417,420,541,437,443,394
532,AGRA,6662,5617,3438,5040,4799,6098,6135,6925,6704,6919,10290,9360,9298
533,ALIGARH,4688,3996,2325,3884,4166,3851,3751,4069,5733,5636,5881,5806,8129
534,ALLAHABAD,6096,4962,2512,3963,3517,3640,4417,5161,5175,4955,6256,6394,8357
535,AMBEDKAR NAGAR,1379,1028,406,793,886,991,1027,1040,1056,1168,1283,1211,1339
536,AURAIYA,1137,1036,745,814,962,1011,1069,822,1008,1000,1183,1319,1316
537,AZAMGARH,2247,1879,1404,2039,2030,1515,1308,1760,1752,1764,2173,2284,2621
538,BADAUN,3064,2617,1834,2492,2003,1906,1831,2112,2548,2203,2599,2537,2607
539,BAGHPAT,1355,1117,690,974,1002,1161,1114,1539,1438,1220,1736,1560,1831
540,BAHRAICH,1316,1069,1144,1266,1164,1288,1313,1217,1879,2181,2679,2369,2389
541,BALLIA,1934,1436,652,1133,863,813,816,936,928,824,1148,1607,1790
542,BANDA,1722,1474,746,1060,1009,898,978,1830,1434,1138,1281,1224,2055
543,BARABANKI,2578,2198,1033,1661,1638,1775,1931,2986,2862,2238,2216,2096,2677
544,BAREILLY,5269,4392,2545,4117,4020,3941,4834,5222,4728,4277,5010,5228,6860
545,BASTI,1753,1412,1233,975,822,830,1130,999,907,806,796,1237,1162
546,BIJNOR,2487,1911,1869,1547,1434,1522,2070,2295,2647,2860,2555,3108,3639
547,BULANDSHAHAR,3972,3172,1870,2811,2723,2933,4005,3568,2595,3056,3898,3554,4712
548,CHANDOLI,765,627,390,608,484,645,955,1129,814,834,936,1043,1083
549,CHITRAKOOT DHAM,392,397,299,406,406,398,440,528,460,457,588,780,807
550,DEORIA,2402,1582,844,1217,1060,1011,1001,797,1067,810,1188,1446,1882
551,ETAH,4521,3170,1555,2235,1941,2013,2723,1984,2078,2012,1695,2468,2506
552,ETAWAH,1942,1492,808,1406,1604,1522,2208,2408,2472,1918,2134,1996,2242
553,FAIZABAD,1967,1681,704,1079,1226,1323,1463,1733,1787,1770,2049,2281,2150
554,FATEHGARH,1694,1413,851,829,765,1005,1388,1433,1267,903,1185,1608,1754
555,FATEHPUR,1946,1637,913,1193,1142,1165,1419,1819,1621,1943,2256,2152,2234
556,FIROZABAD,2726,2555,1715,2325,2146,2355,2652,3009,3051,2541,2969,3096,4026
557,GAUTAMBUDH NAGAR,2443,2213,1085,2290,2169,2401,3277,3622,4707,6091,6215,6687,8199
558,GHAZIABAD,5079,4619,2627,4613,4256,4207,4320,4888,11821,10217,7813,7477,9150
559,GHAZIPUR,1308,1048,659,1037,872,790,1102,1059,960,806,794,1430,1626
560,GONDA,1719,1505,912,976,999,1280,1233,1395,1746,2054,2481,2458,2342
561,GORAKHPUR,2598,2618,1690,2528,2193,2204,2076,2892,3906,5246,5074,4577,4444
562,HARDOI,3078,1990,1446,2094,1914,1784,1806,2114,2699,2292,3104,3005,2890
563,HATHRAS,2216,1845,1387,1783,1646,1520,1879,1447,1663,1591,1595,1770,2094
564,JALAUN,1778,1153,734,1084,1552,1016,1164,1106,1116,899,1066,1292,978
565,JAUNPUR,1993,1405,1108,1586,1301,1767,2198,2230,2130,1779,1640,1822,2218
566,JHANSI,1981,1419,1516,1672,870,827,1183,1011,1144,1113,1934,2016,1923
567,KANNAUJ,1254,921,870,993,930,926,1084,1160,1178,947,2058,1689,1508
568,KANPUR NAGAR,6808,5908,3231,4526,3718,4736,8008,8885,6812,6892,7661,7018,7060
569,KAUSHAMBI,1456,950,503,762,723,734,1156,1674,1320,1188,1410,1302,1600
570,KHIRI,3754,2452,2108,2670,2257,2127,2308,2768,2359,2296,2842,2917,3587
571,KUSHI NAGAR,1456,1198,731,1204,1106,1006,1127,976,1044,1192,1529,1698,1988
572,LALITPUR,773,584,344,448,287,469,583,495,613,616,828,697,696
573,LUCKNOW,9205,8622,6806,7412,8007,8102,10017,13707,12424,12454,10538,11083,13583
574,MAHARAJGANJ,861,679,679,577,563,672,1111,807,832,1004,764,1524,1369
575,MAHOBA,728,593,386,440,399,445,496,652,558,586,644,791,838
576,MAINPURI,2147,1701,1073,1587,1437,1624,2232,2207,1776,1644,2212,2400,2432
577,MATHURA,2990,2610,1520,2227,2532,3148,3965,3911,3994,4307,4546,4438,4386
578,MAU,1331,1119,745,778,784,906,911,1110,1024,1075,1270,1535,1495
579,MEERUT,5377,4018,2705,4298,4347,4072,4410,5025,5375,6792,7607,7984,8360
580,MIRZAPUR,1185,902,544,878,898,814,795,1294,1196,1210,1012,775,786
581,MORADABAD,3445,2852,2037,3664,3499,3659,4304,5093,4008,4382,3618,3652,3747
582,MUZAFFARNAGAR,4042,3188,2485,2893,3232,3328,3720,3892,4117,4850,4079,3715,4496
583,PILIBHIT,2239,1907,1181,1637,1238,1505,1651,2470,1834,1989,2633,2296,2798
585,PRATAPGARH,2421,1862,1001,1732,1439,1826,1684,2483,1963,1670,1854,2354,3311
586,RAIBAREILLY,2544,2109,1445,1854,1771,1592,1826,2228,2174,1456,1553,1774,2085
587,RAMPUR,1644,1412,1149,1479,1208,1458,2138,2252,2434,2326,2514,2105,1970
588,SAHARANPUR,2869,2331,1623,2477,2393,2852,2960,2737,2421,2786,3079,3254,3541
589,SANT KABIRNAGAR,599,418,378,430,408,515,503,823,964,958,792,736,744
590,SHAHJAHANPUR,2941,2716,1446,2166,1822,1573,2691,2640,2431,2359,2620,2632,2903
591,SHRAWASTI,747,488,237,366,337,413,393,390,616,600,576,553,835
592,SIDHARTHNAGAR,834,595,634,847,677,793,771,765,700,617,661,707,758
593,SITAPUR,4732,3405,1905,3039,3168,2637,2881,3275,3172,2830,3394,3360,3934
594,SONBHADRA,595,557,334,559,519,509,744,969,962,978,905,901,779
595,ST.RAVIDASNAGAR,590,532,285,579,484,438,478,433,441,298,348,466,512
596,SULTANPUR,2540,2140,1249,1441,1297,1419,1594,1902,2283,1554,1551,1821,2284
597,UNNAO,3548,2662,1887,1917,1768,1575,1560,1583,1782,1636,2191,2683,2825
598,VARANASI,2904,2809,1681,2209,1748,2662,3784,3739,3148,3060,3021,3465,5077
599,ALMORA,251,324,254,221,254,249,299,252,246,162,122,150,172
600,BAGESHWAR,115,129,102,90,106,99,109,65,69,46,48,74,84
601,CHAMOLI,213,227,201,243,248,189,221,94,112,109,80,74,119
602,CHAMPAWAT,127,92,123,128,108,109,84,79,82,96,90,85,97
603,DEHRADUN,1988,1777,1673,1955,1845,2005,2205,2458,2425,2370,1969,2189,2279
604,HARIDWAR,1843,2028,1776,1909,1800,2162,2534,2522,2268,2654,2632,2613,2796
605,NAINITAL,877,806,875,892,871,785,883,892,928,894,768,740,842
606,PAURI GARHWAL,396,426,451,439,387,330,419,178,225,197,209,256,307
607,PITHORAGARH,364,271,305,306,254,252,341,160,150,136,157,103,117
608,RUDRA PRAYAG,106,120,143,132,137,126,134,37,59,107,94,111,101
609,TEHRI GARHWAL,314,283,317,331,248,171,248,241,114,116,97,101,114
610,UDHAMSINGH NAGAR,1167,1257,1426,1771,1561,1746,1903,1749,2023,2288,2433,2314,2426
611,UTTARKASHI,312,236,277,217,214,189,219,129,101,65,75,72,92
612,24 PARGANAS NORTH,6167,6894,7351,8827,7958,7776,9201,11247,13046,15151,17412,11765,13409
613,24 PARGANAS SOUTH,5827,5965,6556,7123,6724,7396,8856,13920,13624,15299,15252,14370,15567
614,ASANSOL,362,363,1327,1062,1217,1699,1491,1676,1361,1841,3381,3897,4785
615,BANKURA,1180,1205,1341,1618,1542,1282,1329,1460,1586,2251,2296,2758,2494
616,BIRBHUM,2213,2010,1845,1612,1680,1625,1868,2526,2702,2547,2511,3083,2882
617,BURDWAN,4693,4129,3209,4140,4502,3897,4384,4128,5556,4996,3997,4674,4973
618,COOCHBEHAR,1262,1146,1191,1264,1277,1697,2051,2499,3465,3721,3354,3491,4437
619,DAKSHIN DINAJPUR,1011,1114,870,860,943,1101,1284,1551,1602,2071,2336,2725,2606
620,DARJEELING,1778,1881,1720,1261,1448,1682,1873,2246,2629,2848,3555,1574,1943
621,HOOGHLY,3020,2773,3031,3663,3270,3220,3632,3844,4064,4748,5391,6434,6931
622,HOWRAH,1195,1359,1113,1760,1658,3633,4073,5487,5500,8519,5447,5059,4849
