,DISTRICT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
71,AURANGABAD,1690,2312,2329,2418,2283,2230,2485,3381,3113,3015,3409,3279,3648
72,BAGAHA,912,975,932,977,945,1156,1989,2439,1500,1543,1623,1729,2039
73,BANKA,1386,1496,1250,1378,1353,1526,1908,1848,1820,1816,1765,1801,2065
74,BEGUSARAI,2628,3054,2903,3110,2444,2884,3197,3256,3387,4025,3420,3717,5319
75,BETTIAH,2796,3288,3012,5235,3075,3058,2686,3312,3202,3755,3903,5073,5274
76,BHABHUA,1368,1509,1236,1432,1255,1422,1748,1763,1780,1883,2025,1867,1860
77,BHAGALPUR,2634,2791,3042,3362,3104,3552,3020,4313,3240,3220,3024,3134,3590
78,BHOJPUR,2806,3021,2794,3795,2853,3143,3113,3866,3736,3969,3564,3846,4888
79,BUXAR,1674,1840,1167,2304,1644,1663,1467,1496,1860,2180,2236,2566,2833
80,DARBHANGA,2572,3087,2808,3083,3140,3235,3388,3800,4261,4308,5387,6314,5674
81,GAYA,3182,3124,3345,3536,3418,3424,3406,4179,4626,4706,5207,6082,7816
82,GOPALGANJ,2098,2035,2005,2724,2543,2357,2430,2605,2641,2779,3334,3959,3811
83,JAMALPUR RLY.,225,239,237,328,195,168,192,223,232,246,290,264,306
84,JAMUI,1046,1048,1055,1388,1409,1556,1593,1788,2257,1880,1902,1752,1942
85,JEHANABAD,1353,1318,1680,1430,1191,1087,1319,1524,1592,1832,1658,1448,1976
86,KATIHAR,1811,2173,2177,1899,1785,1757,2618,2858,2537,2488,3653,4072,3693
87,KATIHAR RLY.,417,434,524,445,432,503,464,467,364,419,390,317,266
88,KHAGARIA,895,1101,1397,1554,1439,1712,1724,1826,1671,1860,1899,2257,2483
89,KISHANGANJ,897,966,959,1052,1017,1086,1040,1316,1247,1234,1225,1420,1828
90,LAKHISARAI,754,788,782,914,840,971,1230,1187,1294,1316,1243,1238,1326
91,MADHEPURA,1062,1019,1001,1175,1137,1172,1456,1700,1770,1877,1810,2293,2745
92,MADHUBANI,2897,2627,2687,2721,2835,1196,3625,5454,4175,4319,4660,4887,4662
93,MOTIHARI,3881,4596,4286,4331,4564,4246,4333,4600,5234,5546,7489,7833,8255
94,MUNGER,1758,2014,1877,1672,1749,1846,2037,1899,2002,2052,1981,1829,2195
95,MUZAFFARPUR,4212,4863,4841,6810,5363,5484,5748,5678,5579,6541,6827,7306,9021
96,MUZAFFARPUR RLY.,538,609,594,685,583,709,585,609,600,524,524,553,606
97,NALANDA,3479,3247,2949,3403,3000,2973,3759,4215,4707,4411,4527,4993,5740
98,NAUGACHIA,570,711,693,1059,999,914,988,1523,1573,1216,1478,1494,1564
99,NAWADAH,1515,1500,1347,1772,1732,1566,1803,1747,2164,2286,2523,2729,2989
100,PATNA,8583,9217,9770,10632,11840,12736,14064,14491,14446,14036,13712,14015,18302
101,PATNA RLY.,1127,1018,1119,1135,950,972,835,939,1146,1181,1143,1088,1105
102,PURNEA,2054,2131,1919,2275,2169,2403,2582,2802,2820,2959,3332,3953,3950
103,ROHTAS,2961,3419,2855,2854,3384,3038,2825,3943,4071,4488,4203,3665,4769
104,SAHARSA,1066,967,1004,1554,1441,1787,2019,2155,2087,1795,2020,2421,2792
105,SAMASTIPUR,2853,2808,2970,3159,3452,3333,3154,3416,4077,4063,4216,4817,5802
106,SARAN,3442,3277,3709,4851,3233,3526,3556,3550,3826,4050,5200,5254,5492
107,SHEIKHPURA,804,887,717,794,683,590,765,1020,964,923,1031,1189,1116
108,SHEOHAR,428,447,410,389,493,488,434,546,555,546,614,603,769
109,SITAMARHI,1797,2172,2407,2734,2687,2548,2665,3235,3763,3776,3624,3982,5324
110,SIWAN,1853,2016,2065,2294,2190,2438,2412,2452,2242,3106,3408,4379,5390
111,SUPAUL,1672,1760,1246,1843,1224,1302,1612,1978,1675,1721,2043,2626,2930
112,VAISHALI,4076,3445,3495,5032,3522,3735,3700,3669,4311,4372,4661,5186,5578
114,BALRAMPUR,734,535,255,312,309,386,505,351,415,438,657,586,649
116,BILASPUR,1074,1217,1098,1103,1165,1192,1104,1046,1063,1138,1077,960,1131
117,BIZAPUR,86,239,265,260,401,522,475,368,306,395,325,291,318
118,DANTEWARA,739,616,605,702,698,784,762,723,737,692,674,360,370
119,DHAMTARI,996,1249,1412,1270,1309,1463,1628,1552,1442,1382,1190,1147,1189
120,DURG,6544,6121,6127,6518,6647,6938,6084,6595,7341,9563,11218,7471,6892
121,GRP RAIPUR,315,320,327,351,385,386,291,301,358,407,277,289,266
122,JAGDALPUR,1812,1910,1923,2197,2087,2197,1924,2309,2211,2157,2262,1454,1448
123,JANJGIR,2059,2014,1733,2398,2705,2851,2740,3011,2964,2896,3335,3287,3470
124,JASHPUR,719,766,704,835,959,974,1053,1270,1258,1240,1312,1237,1273
125,KANKER,760,1046,874,966,1022,1017,1143,1062,993,976,929,1007,1132
126,KORBA,2112,2295,2661,2210,2083,2311,2228,2515,2428,2600,2448,2217,2214
127,KORIYA,1644,1531,1313,1486,1343,1368,1589,1798,1574,1817,1690,1581,1641
128,MAHASAMUND,1185,1324,1412,1489,1551,1517,1460,1493,1660,1624,2140,2120,2396
129,RAIGARH,1650,1547,1941,2035,2234,2369,2764,2945,2890,3130,3024,3053,3350
130,RAIPUR,6786,5595,6198,6970,7454,7932,8344,9981,9915,10360,10652,8323,8907
131,RAJNANDGAON,2650,2494,2247,2380,2419,2569,2900,3252,3071,2849,3133,3035,2866
132,SARGUJA,3130,2739,2340,2765,1843,1566,1568,1805,1835,2218,2312,1742,1757
133,NORTH GOA,1271,1380,1330,1227,1305,1199,1290,1489,1673,1926,2056,2102,2595
134,SOUTH GOA,1070,1060,914,900,814,1005,1189,1253,1332,1367,1393,1506,1717
135,AHMEDABAD COMMR.,13496,14479,16199,17553,17468,19238,17310,18544,20726,21442,20203,21347,21258
136,AHMEDABAD RURAL,2146,2772,2638,2813,2925,3020,4006,3404,3241,3373,3688,3673,4050
137,AHWA-DANG,147,170,104,124,146,280,292,231,153,154,227,209,248
138,AMRELI,2191,1851,1940,2240,3578,2432,2308,2391,2226,2167,2126,2301,2229
139,ANAND,3879,3859,3512,3216,3077,3053,3919,3794,3455,3464,3154,2991,2816
140,BHARUCH,3052,3086,2793,2747,2688,2618,2538,3075,3183,2872,2931,2781,2756
141,BHAVNAGAR,5088,5146,4815,5341,7586,8457,6047,5858,4611,4133,4257,4375,4410
142,DAHOD,1717,1743,1537,1759,1523,1725,1722,1808,1459,1832,1910,1683,1544
