,Points,Latitude
0,0,0
1,14.6546235,77.55625984224562
2,13.6225772,79.4111216
3,14.4956602,78.8349278
4,0,0
5,17.162167750000002,82.04614573886496
6,0,0
7,16.2915189,80.4541588
8,0,0
9,15.8309251,78.0425373
10,0,0
11,17.1091033,81.0874209
12,16.432596699999998,81.04312406009987
13,15.8309251,78.0425373
14,0,0
15,0,0
16,0,0
17,14.4493717,79.9873763
18,0,0
19,17.0070088,81.7879635
20,17.0050454,81.7804732
21,13.1006135,79.1260283
22,0,0
23,18.32002205,83.91607719937166
24,0,0
25,16.5094934,80.6378674
26,0,0
27,0,0
28,17.7222517,83.32670983945692
29,18.1120819,83.4052196224888
30,0,0
31,0,0
32,16.9823353,81.34242254546041
33,0,0
34,28.1114301,96.82699963398373
35,27.1398402,95.7382485
36,28.83416675,95.94523415398385
37,0,0
38,27.3,93.05
39,27.4,92.35
40,28.0060625,96.2431946
41,26.879454600000003,95.3155652456941
42,27.286366649999998,93.61877159710389
43,28.7929298,95.8958848
44,28.3,95.15
45,28.73120455,95.03773151350946
46,28.4,94.55
47,27.8,93.6
48,28.3,94
49,27.5879186,91.863733
50,27.03016895,95.49791754505583
51,28.83416675,95.94523415398385
52,0,0
53,26.62758805,91.4619052692558
54,26.34142215,91.01674328474073
55,0,0
56,26.412376950000002,90.57149765106257
57,0,0
58,24.758639950000003,92.88166475768219
59,26.6464231,90.62415698729875
60,26.75,92.5
61,27.466831499999998,94.51786508708852
62,26.01894625,89.94188952461522
63,27.4844597,94.9019447
64,0,0
65,26.1783623,90.6226683
66,26.40490095,94.03209112120626
67,26.1724967,91.7714274
68,24.68845365,92.57381528240943
69,25.8452623,92.5746202
70,26.7577925,94.2079645
71,26.12755515,91.2998714797357
72,26,93.5
73,24.8483482,92.33221292310328
74,26.58687695,90.29293105124796
75,27.0827158,93.9978423
76,26.2551844,92.32883054999999
77,0,0
78,26.30414915,92.71605974430346
79,26.42386165,91.45122754621168
80,0,0
81,26.96388985,94.58213344568205
82,26.767770749999997,92.70140885850532
83,0,0
84,27.52016575,95.5306347312879
85,26.77253155,92.10641748712015
86,0,0
87,26.26498795,87.37162648106798
88,25.180777149999997,84.65920203021554
89,24.75,84.5
90,27.05901115,84.20646375475478
91,24.8655681,86.87278642295597
92,25.5127194,86.09057109140021
93,26.791072749999998,84.56010678772793
94,0,0
95,25.28669805,87.13225355111148
96,25.25,84.25
97,25.562071500000002,84.01567204651289
98,26.08314325,86.03257096612822
99,24.7964355,85.0079563
